2025-09-24 15:37:51,547 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,549 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,551 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,552 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,554 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,555 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,557 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,559 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,560 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,562 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,563 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,564 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,565 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,567 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,569 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,570 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,571 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,572 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,573 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,574 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,576 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,577 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,579 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,580 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,581 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,583 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,584 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,586 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,588 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,589 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,591 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,592 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,594 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,595 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,596 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,597 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,599 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,601 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,602 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,604 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,605 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,605 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,606 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,608 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,609 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,609 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,611 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,612 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
2025-09-24 15:37:51,613 | INFO | market_condition_monitor | Using cached market conditions | Context: cache_used=True | operation=cache_operations
