2025-09-24 15:34:33,772 | DEBUG | selector_system | Spread analysis progress: 0/231 candidates processed | Context: processed_count=0 | total_candidates=231 | progress_percent=0.0 | operation=spread_analysis
2025-09-24 15:34:42,824 | DEBUG | selector_system | Spread analysis progress: 10/231 candidates processed | Context: processed_count=10 | total_candidates=231 | progress_percent=4.329004329004329 | operation=spread_analysis
2025-09-24 15:34:50,880 | DEBUG | selector_system | Spread analysis progress: 20/231 candidates processed | Context: processed_count=20 | total_candidates=231 | progress_percent=8.658008658008658 | operation=spread_analysis
2025-09-24 15:34:59,157 | DEBUG | selector_system | Spread analysis progress: 30/231 candidates processed | Context: processed_count=30 | total_candidates=231 | progress_percent=12.987012987012985 | operation=spread_analysis
2025-09-24 15:35:08,100 | DEBUG | selector_system | Spread analysis progress: 40/231 candidates processed | Context: processed_count=40 | total_candidates=231 | progress_percent=17.316017316017316 | operation=spread_analysis
2025-09-24 15:35:17,671 | DEBUG | selector_system | Spread analysis progress: 50/231 candidates processed | Context: processed_count=50 | total_candidates=231 | progress_percent=21.645021645021643 | operation=spread_analysis
2025-09-24 15:35:26,816 | DEBUG | selector_system | Spread analysis progress: 60/231 candidates processed | Context: processed_count=60 | total_candidates=231 | progress_percent=25.97402597402597 | operation=spread_analysis
2025-09-24 15:35:36,516 | DEBUG | selector_system | Spread analysis progress: 70/231 candidates processed | Context: processed_count=70 | total_candidates=231 | progress_percent=30.303030303030305 | operation=spread_analysis
2025-09-24 15:35:45,959 | DEBUG | selector_system | Spread analysis progress: 80/231 candidates processed | Context: processed_count=80 | total_candidates=231 | progress_percent=34.63203463203463 | operation=spread_analysis
2025-09-24 15:35:54,530 | DEBUG | selector_system | Spread analysis progress: 90/231 candidates processed | Context: processed_count=90 | total_candidates=231 | progress_percent=38.961038961038966 | operation=spread_analysis
2025-09-24 15:36:02,686 | DEBUG | selector_system | Spread analysis progress: 100/231 candidates processed | Context: processed_count=100 | total_candidates=231 | progress_percent=43.290043290043286 | operation=spread_analysis
2025-09-24 15:36:11,357 | DEBUG | selector_system | Spread analysis progress: 110/231 candidates processed | Context: processed_count=110 | total_candidates=231 | progress_percent=47.61904761904761 | operation=spread_analysis
2025-09-24 15:36:20,134 | DEBUG | selector_system | Spread analysis progress: 120/231 candidates processed | Context: processed_count=120 | total_candidates=231 | progress_percent=51.94805194805194 | operation=spread_analysis
2025-09-24 15:36:28,430 | DEBUG | selector_system | Spread analysis progress: 130/231 candidates processed | Context: processed_count=130 | total_candidates=231 | progress_percent=56.27705627705628 | operation=spread_analysis
2025-09-24 15:36:36,273 | DEBUG | selector_system | Spread analysis progress: 140/231 candidates processed | Context: processed_count=140 | total_candidates=231 | progress_percent=60.60606060606061 | operation=spread_analysis
2025-09-24 15:36:44,247 | DEBUG | selector_system | Spread analysis progress: 150/231 candidates processed | Context: processed_count=150 | total_candidates=231 | progress_percent=64.93506493506493 | operation=spread_analysis
2025-09-24 15:36:52,134 | DEBUG | selector_system | Spread analysis progress: 160/231 candidates processed | Context: processed_count=160 | total_candidates=231 | progress_percent=69.26406926406926 | operation=spread_analysis
2025-09-24 15:37:00,341 | DEBUG | selector_system | Spread analysis progress: 170/231 candidates processed | Context: processed_count=170 | total_candidates=231 | progress_percent=73.59307359307358 | operation=spread_analysis
2025-09-24 15:37:08,963 | DEBUG | selector_system | Spread analysis progress: 180/231 candidates processed | Context: processed_count=180 | total_candidates=231 | progress_percent=77.92207792207793 | operation=spread_analysis
2025-09-24 15:37:17,483 | DEBUG | selector_system | Spread analysis progress: 190/231 candidates processed | Context: processed_count=190 | total_candidates=231 | progress_percent=82.25108225108225 | operation=spread_analysis
2025-09-24 15:37:25,343 | DEBUG | selector_system | Spread analysis progress: 200/231 candidates processed | Context: processed_count=200 | total_candidates=231 | progress_percent=86.58008658008657 | operation=spread_analysis
2025-09-24 15:37:34,077 | DEBUG | selector_system | Spread analysis progress: 210/231 candidates processed | Context: processed_count=210 | total_candidates=231 | progress_percent=90.9090909090909 | operation=spread_analysis
2025-09-24 15:37:42,061 | DEBUG | selector_system | Spread analysis progress: 220/231 candidates processed | Context: processed_count=220 | total_candidates=231 | progress_percent=95.23809523809523 | operation=spread_analysis
2025-09-24 15:37:50,768 | DEBUG | selector_system | Spread analysis progress: 230/231 candidates processed | Context: processed_count=230 | total_candidates=231 | progress_percent=99.56709956709958 | operation=spread_analysis
2025-09-24 15:37:51,548 | INFO | selector_system | Using dynamic sector weights: Tech=35% | Context: tech_weight=0.35 | dynamic_weights={'Technology': 0.35, 'Healthcare': 0.2, 'Financials': 0.18, 'Utilities': 0.12, 'Consumer Staples': 0.1, 'Communication Services': 0.05} | operation=sector_weighting
2025-09-24 15:37:51,550 | INFO | selector_system | Using dynamic sector weights: Tech=35% | Context: tech_weight=0.35 | dynamic_weights={'Technology': 0.35, 'Healthcare': 0.2, 'Financials': 0.18, 'Utilities': 0.12, 'Consumer Staples': 0.1, 'Communication Services': 0.05} | operation=sector_weighting
2025-09-24 15:37:51,551 | INFO | selector_system | Using dynamic sector weights: Tech=35% | Context: tech_weight=0.35 | dynamic_weights={'Technology': 0.35, 'Healthcare': 0.2, 'Financials': 0.18, 'Utilities': 0.12, 'Consumer Staples': 0.1, 'Communication Services': 0.05} | operation=sector_weighting
2025-09-24 15:37:51,553 | INFO | selector_system | Using dynamic sector weights: Tech=35% | Context: tech_weight=0.35 | dynamic_weights={'Technology': 0.35, 'Healthcare': 0.2, 'Financials': 0.18, 'Utilities': 0.12, 'Consumer Staples': 0.1, 'Communication Services': 0.05} | operation=sector_weighting
2025-09-24 15:37:51,554 | INFO | selector_system | Using dynamic sector weights: Tech=35% | Context: tech_weight=0.35 | dynamic_weights={'Technology': 0.35, 'Healthcare': 0.2, 'Financials': 0.18, 'Utilities': 0.12, 'Consumer Staples': 0.1, 'Communication Services': 0.05} | operation=sector_weighting
2025-09-24 15:37:51,556 | INFO | selector_system | Using dynamic sector weights: Tech=35% | Context: tech_weight=0.35 | dynamic_weights={'Technology': 0.35, 'Healthcare': 0.2, 'Financials': 0.18, 'Utilities': 0.12, 'Consumer Staples': 0.1, 'Communication Services': 0.05} | operation=sector_weighting
2025-09-24 15:37:51,557 | INFO | selector_system | Using dynamic sector weights: Tech=35% | Context: tech_weight=0.35 | dynamic_weights={'Technology': 0.35, 'Healthcare': 0.2, 'Financials': 0.18, 'Utilities': 0.12, 'Consumer Staples': 0.1, 'Communication Services': 0.05} | operation=sector_weighting
2025-09-24 15:37:51,559 | INFO | selector_system | Using dynamic sector weights: Tech=35% | Context: tech_weight=0.35 | dynamic_weights={'Technology': 0.35, 'Healthcare': 0.2, 'Financials': 0.18, 'Utilities': 0.12, 'Consumer Staples': 0.1, 'Communication Services': 0.05} | operation=sector_weighting
2025-09-24 15:37:51,561 | INFO | selector_system | Using dynamic sector weights: Tech=35% | Context: tech_weight=0.35 | dynamic_weights={'Technology': 0.35, 'Healthcare': 0.2, 'Financials': 0.18, 'Utilities': 0.12, 'Consumer Staples': 0.1, 'Communication Services': 0.05} | operation=sector_weighting
2025-09-24 15:37:51,562 | INFO | selector_system | Using dynamic sector weights: Tech=35% | Context: tech_weight=0.35 | dynamic_weights={'Technology': 0.35, 'Healthcare': 0.2, 'Financials': 0.18, 'Utilities': 0.12, 'Consumer Staples': 0.1, 'Communication Services': 0.05} | operation=sector_weighting
2025-09-24 15:37:51,563 | INFO | selector_system | Using dynamic sector weights: Tech=35% | Context: tech_weight=0.35 | dynamic_weights={'Technology': 0.35, 'Healthcare': 0.2, 'Financials': 0.18, 'Utilities': 0.12, 'Consumer Staples': 0.1, 'Communication Services': 0.05} | operation=sector_weighting
2025-09-24 15:37:51,564 | INFO | selector_system | Using dynamic sector weights: Tech=35% | Context: tech_weight=0.35 | dynamic_weights={'Technology': 0.35, 'Healthcare': 0.2, 'Financials': 0.18, 'Utilities': 0.12, 'Consumer Staples': 0.1, 'Communication Services': 0.05} | operation=sector_weighting
2025-09-24 15:37:51,566 | INFO | selector_system | Using dynamic sector weights: Tech=35% | Context: tech_weight=0.35 | dynamic_weights={'Technology': 0.35, 'Healthcare': 0.2, 'Financials': 0.18, 'Utilities': 0.12, 'Consumer Staples': 0.1, 'Communication Services': 0.05} | operation=sector_weighting
2025-09-24 15:37:51,568 | INFO | selector_system | Using dynamic sector weights: Tech=35% | Context: tech_weight=0.35 | dynamic_weights={'Technology': 0.35, 'Healthcare': 0.2, 'Financials': 0.18, 'Utilities': 0.12, 'Consumer Staples': 0.1, 'Communication Services': 0.05} | operation=sector_weighting
2025-09-24 15:37:51,569 | INFO | selector_system | Using dynamic sector weights: Tech=35% | Context: tech_weight=0.35 | dynamic_weights={'Technology': 0.35, 'Healthcare': 0.2, 'Financials': 0.18, 'Utilities': 0.12, 'Consumer Staples': 0.1, 'Communication Services': 0.05} | operation=sector_weighting
2025-09-24 15:37:51,570 | INFO | selector_system | Using dynamic sector weights: Tech=35% | Context: tech_weight=0.35 | dynamic_weights={'Technology': 0.35, 'Healthcare': 0.2, 'Financials': 0.18, 'Utilities': 0.12, 'Consumer Staples': 0.1, 'Communication Services': 0.05} | operation=sector_weighting
